Ind	Year	Period	Month	Link	File	Completo
20	2015	3	Julio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 20/Julio16	tot2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 20/Julio16/tot2015_noenh_jun.csv
20	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 20/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 20/Marzo16/tot2015_noenh_mar.csv
21	2015	3	Julio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 21/Julio16	tot2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 21/Julio16/tot2015_noenh_jun.csv
21	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 21/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 21/Marzo16/tot2015_noenh_mar.csv
27	2015	3	Julio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 27/Julio16	tot2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 27/Julio16/tot2015_noenh_jun.csv
27	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 27/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 27/Marzo16/tot2015_noenh_mar.csv
32	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 32/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 32/Marzo16/tot2015_noenh_mar.csv
33	2015	3	Julio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 33/Julio16	tot2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 33/Julio16/tot2015_noenh_jun.csv
33	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 33/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 33/Marzo16/tot2015_noenh_mar.csv
34	2015	3	Julio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 34/Julio16	tot2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 34/Julio16/tot2015_noenh_jun.csv
34	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 34/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 34/Marzo16/tot2015_noenh_mar.csv
44	2015	3	Junio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 44/Junio16	tot2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 44/Junio16/tot2015_noenh_jun.csv
44	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 44/Marzo16	tot2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 44/Marzo16/tot2015_noenh_mar.csv
51	2015	3	Julio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 51/Julio16	refri2015_noenh_jun.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 51/Julio16/refri2015_noenh_jun.csv
51	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 51/Marzo16	refri2015_noenh_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 51/Marzo16/refri2015_noenh_mar.csv
84	2015	3	Junio	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 84/Junio16	tot2015_jul.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 84/Junio16/tot2015_jul.csv
84	2015	2	Marzo	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 84/Marzo16	tot2015_mar.csv	H:/ESTATIST/PROCESSOS E CLIENTES/Migração Universos entre IVPO-OE E MSci/2015/Ind 84/Marzo16/tot2015_mar.csv
